date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2026-01-05,IRBR3,IRBR3,52.42,53.76,51.04,51.15,51.15,3815800,52.42,53.76,51.04,51.15,1.0,53.76,51.04,0,3815800,18587,198533198.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-01-12,IRBR3,IRBR3,50.9,53.41,50.21,52.42,52.42,4220000,50.9,53.41,50.21,52.42,1.0,53.41,50.21,0,4220000,22172,217006109.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-01-19,IRBR3,IRBR3,52.5,55.98,52.38,55.22,55.22,5065000,52.5,55.98,52.38,55.22,1.0,55.98,52.38,0,5065000,26362,277313442.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-01-26,IRBR3,IRBR3,55.11,61.42,54.8,57.85,57.85,5673300,55.11,61.42,54.8,57.85,1.0,61.42,54.8,0,5673300,27266,332560247.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-02-02,IRBR3,IRBR3,57.79,60.15,56.7,56.89,56.89,2869700,57.79,60.15,56.7,56.89,1.0,60.15,56.7,0,2869700,17045,166823303.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-02-09,IRBR3,IRBR3,57.0,61.45,56.99,59.32,59.32,3883200,57.0,61.45,56.99,59.32,1.0,61.45,56.99,0,3883200,20050,230516117.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-02-18,IRBR3,IRBR3,58.97,59.87,56.56,59.4,59.4,2958600,58.97,59.87,56.56,59.4,1.0,59.87,56.56,0,2958600,12459,172353501.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-02-23,IRBR3,IRBR3,59.09,66.65,58.69,61.9,61.9,6939900,59.09,66.65,58.69,61.9,1.0,66.65,58.69,0,6939900,26803,440271151.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-03-02,IRBR3,IRBR3,61.02,62.13,54.5,55.87,55.87,4730200,61.02,62.13,54.5,55.87,1.0,62.13,54.5,0,4730200,21679,273153995.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
2026-03-09,IRBR3,IRBR3,55.07,58.4,54.69,55.34,55.34,3069300,55.07,58.4,54.69,55.34,1.0,58.4,54.69,0,3069300,13777,171134563.0,1,02,010,BRIRBRACNOR4,113,ON      NM,IRBBRASIL RE
