ticker,episode,peak,trough,recovery,asset_price_dd,bh_equity_return,best_period_strategy,best_period_return,best_full_strategy,best_full_period_return
BBSE3,1,2020-02-13,2021-09-08,2022-11-09,-0.4404363513024838,-0.5057119736417699,sma_cross_10_52,-0.06471204310104961,legacy_rsi_7_50_90,-0.50561717428836
BBSE3,2,2015-05-08,2016-01-26,2018-01-26,-0.4217490109434725,-0.4380334011824596,sma_cross_10_52,-0.16684569652836545,legacy_rsi_7_50_90,-0.43809698106525863
BBSE3,3,2018-01-26,2018-09-19,2019-01-17,-0.2471153966095775,-0.2940234641842624,sma_cross_10_52,-0.14921735830549376,legacy_rsi_7_50_90,-0.24957059189115594
VALE3,1,2008-05-16,2016-02-02,2018-05-10,-0.8408028820259792,-0.8807044382081924,sma_cross_20_100,-0.5260342576516945,legacy_rsi_atr_14_45_80,-0.8517873800830652
VALE3,2,2018-09-25,2020-03-23,2020-07-14,-0.43724117880161617,-0.4517683861436388,sma_cross_20_100,-0.3032552357946584,legacy_rsi_atr_14_45_80,-0.4076597559591425
VALE3,3,2021-07-28,2021-11-18,2023-01-26,-0.4134298335801597,-0.46862737556560574,sma_cross_20_100,-0.1700857588923531,legacy_rsi_atr_14_45_80,-0.46258077659289354
GGBR3,1,2008-06-06,2016-01-20,2021-04-13,-0.9122995153080268,-0.9264858266099449,breakout_10_55,-0.6614819608299332,legacy_breakout_5_55,-0.7591453995055608
GGBR3,2,2004-08-24,2005-07-07,2006-01-03,-0.4326087027545247,-0.43260860822081837,legacy_rsi_21_45_70,-0.2651007900000051,legacy_breakout_5_55,-0.4904843325778834
GGBR3,3,2021-05-11,2021-09-21,2022-11-11,-0.3384683818579345,-0.3617295884785422,legacy_rsi_atr_21_45_75,-0.1638590164241952,legacy_breakout_5_55,-0.2300669707044919
LOGG3,1,2020-08-06,2022-12-16,2026-01-30,-0.6230028458302784,-0.6381544709407554,range_expansion_breakout,0.008343572056523252,chandelier_breakout,-0.23706980487055151
LOGG3,2,2020-01-17,2020-03-18,2020-07-08,-0.5482559115152092,-0.5480750282479527,keltner_w10_atr14x1_exit1_tw0,-0.0807510392575772,chandelier_breakout,-0.10678247323404455
LOGG3,3,2019-01-14,2019-02-18,2019-07-02,-0.358823533973445,-0.3586240213229619,chandelier_breakout,0.0,chandelier_breakout,0.0
PETR4,1,2008-05-21,2016-01-26,2022-01-14,-0.8988704413717346,-0.9199616514330786,atr_breakout_20_20x2,0.12246140264514938,supertrend_20_5,-0.11326581856091411
PETR4,2,2001-06-04,2002-10-16,2003-09-04,-0.4391023753534725,-0.4389304641756733,atr_breakout_20_20x2,-0.13143413238507684,supertrend_20_5,-0.13952056929820533
PETR4,3,2022-10-21,2022-12-14,2023-06-14,-0.39104143777492884,-0.43077104588993065,atr_breakout_20_20x2,-0.09980846720775283,supertrend_20_5,-0.19157190070630903
TUPY3,1,2000-01-18,2004-06-28,,-0.999702499992617,-0.8013653718245024,breakout_20_10,0.823774463614158,supertrend_7_2,-0.41127903578601166
MLAS3,1,2021-07-23,2025-10-17,,-0.9297775691581728,-0.9305897644406341,rsi_ibs_reversion,0.3337949905061306,down_streak_reversion,0.18418444843385728
