date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2000-05-19,9975.05335740771,9975.05335740771,1,1,BUY,BUY,1.200921119570732,1.200921119570732,0.0,0.0,1.0,1.0
2000-05-22,10031.976892277858,10031.976892277858,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-05-25,10309.440242573879,10309.440242573879,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-05-31,10316.561875865124,10316.561875865124,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-01,10672.287904545925,10672.287904545925,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-12,10672.287904545925,10672.287904545925,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-13,9960.826931521557,9960.826931521557,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-14,9605.100902840755,9605.100902840755,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-15,9605.100902840755,9605.100902840755,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-16,9605.100902840755,9605.100902840755,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-19,9249.365958497188,9249.365958497188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-20,9249.365958497188,9249.365958497188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-21,9605.100902840755,9605.100902840755,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-23,8537.905976102016,8537.905976102016,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-26,9107.073962018154,9107.073962018154,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-27,9249.365958497188,9249.365958497188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-28,9605.100902840755,9605.100902840755,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-06-29,9242.25324086871,9242.25324086871,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-07-04,9960.826931521557,9960.826931521557,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-07-05,10672.287904545925,10672.287904545925,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
