date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2000-05-19,10000.0,10000.0,0,1,,BUY,0.0,0.5830376744270325
2000-05-22,10000.0,10057.068526293202,0,1,,,0.0,0.0
2000-05-25,10000.0,10335.240660949285,0,1,,,0.0,0.0
2000-05-31,10000.0,10342.37333221288,0,1,,,0.0,0.0
2000-06-01,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-06-12,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-06-13,10000.0,9985.737724408998,0,1,,,0.0,0.0
2000-06-14,10000.0,9629.107228165432,0,1,,,0.0,0.0
2000-06-15,10000.0,9629.107228165432,0,1,,,0.0,0.0
2000-06-16,10000.0,9629.107228165432,0,1,,,0.0,0.0
2000-06-19,10000.0,9272.469575737427,0,1,,,0.0,0.0
2000-06-20,10000.0,9272.469575737427,0,1,,,0.0,0.0
2000-06-21,10000.0,9629.107228165432,0,1,,,0.0,0.0
2000-06-23,10000.0,8559.200404753792,0,1,,,0.0,0.0
2000-06-26,10000.0,9129.817172777588,0,1,,,0.0,0.0
2000-06-27,10000.0,9272.469575737427,0,1,,,0.0,0.0
2000-06-28,10000.0,9629.107228165432,0,1,,,0.0,0.0
2000-06-29,10000.0,9265.33997141002,0,1,,,0.0,0.0
2000-07-04,10000.0,9985.737724408998,0,1,,,0.0,0.0
2000-07-05,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-07-06,10000.0,11982.888745151813,0,1,,,0.0,0.0
2000-07-07,10000.0,11269.620596480241,0,1,,,0.0,0.0
2000-07-10,10000.0,11412.275044064205,0,1,,,0.0,0.0
2000-07-11,10000.0,11412.275044064205,0,1,,,0.0,0.0
2000-07-12,10000.0,11055.64454782064,0,1,,,0.0,0.0
2000-07-13,10000.0,10841.659298352472,0,1,,,0.0,0.0
2000-07-14,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-07-17,10000.0,10841.659298352472,0,1,,,0.0,0.0
2000-07-19,10000.0,10734.669229398545,0,1,,,0.0,0.0
2000-07-20,10000.0,11055.64454782064,0,1,,,0.0,0.0
2000-07-21,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-07-25,10000.0,10627.684272004935,0,1,,,0.0,0.0
2000-07-27,10000.0,10342.37333221288,0,1,,,0.0,0.0
2000-07-31,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-01,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-03,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-04,10000.0,10592.01784875077,0,1,,,0.0,0.0
2000-08-07,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-08,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-09,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-10,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-11,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-08-14,10000.0,11055.64454782064,0,1,,,0.0,0.0
2000-08-16,10000.0,11062.776196772173,0,1,,,0.0,0.0
2000-08-17,10000.0,11412.275044064205,0,1,,,0.0,0.0
2000-08-18,10000.0,11554.928469336108,0,1,,,0.0,0.0
2000-08-21,10000.0,11412.275044064205,0,1,,,0.0,0.0
2000-08-25,10000.0,11768.90860724396,0,1,,,0.0,0.0
2000-08-30,10000.0,11768.90860724396,0,1,,,0.0,0.0
2000-09-01,10000.0,11768.90860724396,0,1,,,0.0,0.0
2000-09-06,10000.0,11768.90860724396,0,1,,,0.0,0.0
2000-09-14,10000.0,11768.90860724396,0,1,,,0.0,0.0
2000-09-21,10000.0,11526.400851217915,0,1,,,0.0,0.0
2000-09-22,10000.0,11483.604823636346,0,1,,,0.0,0.0
2000-10-06,10000.0,11697.580872295946,0,1,,,0.0,0.0
2000-10-25,10000.0,10699.004850768508,0,1,,,0.0,0.0
2000-11-07,10000.0,9985.737724408998,0,1,,,0.0,0.0
2000-11-10,10000.0,9985.737724408998,0,1,,,0.0,0.0
2000-11-21,10000.0,9985.737724408998,0,1,,,0.0,0.0
2000-11-23,10000.0,8644.800638413437,0,1,,,0.0,0.0
2000-11-24,10000.0,9486.454825205594,0,1,,,0.0,0.0
2000-11-29,10000.0,8951.498346563585,0,1,,,0.0,0.0
2000-12-13,10000.0,8915.840101805925,0,1,,,0.0,0.0
2000-12-26,10000.0,9272.469575737427,0,1,,,0.0,0.0
2000-12-28,10000.0,9272.469575737427,0,1,,,0.0,0.0
2001-01-05,10000.0,9985.737724408998,0,1,,,0.0,0.0
2001-01-08,10000.0,10128.392171992964,0,1,,,0.0,0.0
2001-01-09,10000.0,10128.392171992964,0,1,,,0.0,0.0
2001-01-24,10000.0,10877.320610046321,0,1,,,0.0,0.0
2001-01-26,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-01-31,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-02-05,10000.0,10699.004850768508,0,1,,,0.0,0.0
2001-02-06,10000.0,11055.64454782064,0,1,,,0.0,0.0
2001-02-19,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-03-01,10000.0,11055.64454782064,0,1,,,0.0,0.0
2001-03-02,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-04-09,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-04-20,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-04-24,10000.0,11768.90860724396,0,1,,,0.0,0.0
2001-04-25,10000.0,11768.90860724396,0,1,,,0.0,0.0
2001-04-26,10000.0,11768.90860724396,0,1,,,0.0,0.0
2001-06-07,10000.0,10699.004850768508,0,1,,,0.0,0.0
2001-06-29,10000.0,10699.004850768508,0,1,,,0.0,0.0
2001-07-11,10000.0,8773.18565422196,0,1,,,0.0,0.0
2001-07-18,10000.0,9636.239899429029,0,1,,,0.0,0.0
2001-07-20,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-08-02,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-08-09,10000.0,11412.275044064205,0,1,,,0.0,0.0
2001-09-19,10000.0,8630.531206637994,0,1,,,0.0,0.0
2001-09-20,10000.0,8708.988545913415,0,1,,,0.0,0.0
2001-10-16,10000.0,9843.08225451297,0,1,,,0.0,0.0
2001-10-22,10000.0,9985.737724408998,0,1,,,0.0,0.0
2001-11-08,10000.0,10699.004850768508,0,1,,,0.0,0.0
2001-11-21,10000.0,11761.774913668301,0,1,,,0.0,0.0
2001-11-22,10000.0,11761.774913668301,0,1,,,0.0,0.0
2001-11-23,10000.0,12482.180845163784,0,1,,,0.0,0.0
2001-11-26,10000.0,12503.574769706316,0,1,,,0.0,0.0
2001-11-27,10000.0,12838.810319095286,0,1,,,0.0,0.0
2001-11-30,10000.0,12838.810319095286,0,1,,,0.0,0.0
2001-12-07,10000.0,13195.439793026788,0,1,,,0.0,0.0
2001-12-12,10000.0,13195.439793026788,0,1,,,0.0,0.0
2002-01-02,10000.0,15549.222332325231,0,1,,,0.0,0.0
2002-01-09,10000.0,14978.612720485875,0,1,,,0.0,0.0
2002-01-10,10000.0,14978.612720485875,0,1,,,0.0,0.0
2002-01-14,10000.0,14978.612720485875,0,1,,,0.0,0.0
2002-01-15,10000.0,14265.342527190178,0,1,,,0.0,0.0
2002-01-16,10000.0,14978.612720485875,0,1,,,0.0,0.0
2002-01-30,10000.0,13052.784323130762,0,1,,,0.0,0.0
2002-01-31,10000.0,13052.784323130762,0,1,,,0.0,0.0
2002-02-06,10000.0,14900.147202713952,0,1,,,0.0,0.0
2002-02-13,10000.0,14907.283963225798,0,1,,,0.0,0.0
2002-02-14,10000.0,14978.612720485875,0,1,,,0.0,0.0
2002-02-15,10000.0,14971.478004598155,0,1,,,0.0,0.0
2002-02-18,10000.0,14971.478004598155,0,1,,,0.0,0.0
