date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2018-12-21,10000.0,10915.66866267465,0,1,,BUY,0.0,9.645309012276785
2018-12-26,10000.0,11102.793926250359,0,1,,,0.0,0.0
2018-12-27,10000.0,11445.857567319583,0,1,,,0.0,0.0
2018-12-28,10000.0,11240.02017209456,0,1,,,0.0,0.0
2019-01-02,10000.0,10510.227302358484,0,1,,,0.0,0.0
2019-01-03,10000.0,10354.289911635606,0,1,,,0.0,0.0
2019-01-04,10000.0,10036.176766202774,0,1,,,0.0,0.0
2019-01-07,10000.0,9743.012142865056,0,1,,,0.0,0.0
2019-01-08,10000.0,9898.950520358572,0,1,,,0.0,0.0
2019-01-09,10000.0,10129.741371531909,0,1,,,0.0,0.0
2019-01-10,10000.0,10909.430298687572,0,1,,,0.0,0.0
2019-01-11,10000.0,12225.548468016528,0,1,,,0.0,0.0
2019-01-14,10000.0,12724.54851303799,0,1,,,0.0,0.0
2019-01-15,10000.0,12412.672744821595,0,1,,,0.0,0.0
2019-01-16,10000.0,11976.047458735156,0,1,,,0.0,0.0
2019-01-17,10000.0,11352.29296199045,0,1,,,0.0,0.0
2019-01-18,10000.0,11801.393989280405,0,1,,,0.0,0.0
2019-01-21,10000.0,12194.359608393055,0,1,,,0.0,0.0
2019-01-22,10000.0,11951.096963098764,0,1,,,0.0,0.0
2019-01-23,10000.0,11976.047458735156,0,1,,,0.0,0.0
2019-01-24,10000.0,11726.545462683145,0,1,,,0.0,0.0
2019-01-28,10000.0,11757.735309077258,0,1,,,0.0,0.0
2019-01-29,10000.0,11676.645458181,0,1,,,0.0,0.0
2019-01-30,10000.0,12100.795989834562,0,1,,,0.0,0.0
2019-01-31,10000.0,12007.233358046708,0,1,,,0.0,0.0
2019-02-01,10000.0,12350.296999115932,0,1,,,0.0,0.0
2019-02-04,10000.0,12506.23735015073,0,1,,,0.0,0.0
2019-02-05,10000.0,12412.672744821595,0,1,,,0.0,0.0
2019-02-06,10000.0,12007.233358046708,0,1,,,0.0,0.0
2019-02-07,10000.0,11477.045440172415,0,1,,,0.0,0.0
2019-02-08,10000.0,11258.729343431954,0,1,,,0.0,0.0
2019-02-11,10000.0,11339.820181098854,0,1,,,0.0,0.0
2019-02-12,10000.0,11321.105089137618,0,1,,,0.0,0.0
2019-02-13,10000.0,11414.669694466753,0,1,,,0.0,0.0
2019-02-14,10000.0,11433.381826116067,0,1,,,0.0,0.0
2019-02-15,10000.0,11246.256562540359,0,1,,,0.0,0.0
2019-02-18,10000.0,8158.682312761376,0,1,,,0.0,0.0
2019-02-19,10000.0,10965.567680406157,0,1,,,0.0,0.0
2019-02-20,10000.0,10909.430298687572,0,1,,,0.0,0.0
2019-02-21,10000.0,10903.190947929854,0,1,,,0.0,0.0
2019-02-22,10000.0,10915.66866267465,0,1,,,0.0,0.0
2019-02-25,10000.0,10822.105044116157,0,1,,,0.0,0.0
2019-02-26,10000.0,10790.916184492686,0,1,,,0.0,0.0
2019-02-27,10000.0,10853.292916968989,0,1,,,0.0,0.0
2019-02-28,10000.0,10896.954557484056,0,1,,,0.0,0.0
2019-03-01,10000.0,11015.468671678944,0,1,,,0.0,0.0
2019-03-06,10000.0,10865.767671401865,0,1,,,0.0,0.0
2019-03-07,10000.0,10747.254543977617,0,1,,,0.0,0.0
2019-03-08,10000.0,10697.355526246112,0,1,,,0.0,0.0
2019-03-11,10000.0,10666.16666662264,0,1,,,0.0,0.0
2019-03-12,10000.0,10765.966675626933,0,1,,,0.0,0.0
2019-03-13,10000.0,10853.292916968989,0,1,,,0.0,0.0
2019-03-14,10000.0,10815.867666899718,0,1,,,0.0,0.0
2019-03-15,10000.0,10915.66866267465,0,1,,,0.0,0.0
2019-03-18,10000.0,11171.40704917246,0,1,,,0.0,0.0
2019-03-19,10029.940204362327,11283.68181260963,1,1,BUY,,10.850971756690218,0.0
2019-03-20,9980.038551185731,11227.542457349764,1,1,,,0.0,0.0
2019-03-21,9869.150958971743,11102.793926250359,1,1,,,0.0,0.0
2019-03-22,9481.03780775131,10666.16666662264,1,1,,,0.0,0.0
2019-03-25,9431.137031704244,10610.028298133415,1,1,,,0.0,0.0
2019-03-26,9508.761240781483,10697.355526246112,1,1,,,0.0,0.0
2019-03-27,9286.98079357633,10447.85254342346,1,1,,,0.0,0.0
2019-03-28,9647.372266025646,10853.292916968989,1,1,,,0.0,0.0
2019-03-29,9414.504024441576,10591.3161664841,1,1,,,0.0,0.0
2019-04-01,9425.59357307955,10603.791907687617,1,1,,,0.0,0.0
2019-04-02,9558.659385439962,10753.490934423415,1,1,,,0.0,0.0
2019-04-03,9652.9174789094,10859.531280956067,1,1,,,0.0,0.0
2019-04-04,9952.317749544147,11196.356558038213,1,1,,,0.0,0.0
2019-04-05,10074.296644655169,11333.582803882415,1,1,,,0.0,0.0
2019-04-08,10135.285215081152,11402.194940033876,1,1,,,0.0,0.0
2019-04-09,10085.385316163616,11346.057558315291,1,1,,,0.0,0.0
2019-04-10,9924.594316513972,11165.167698414742,1,1,,,0.0,0.0
2019-04-11,9991.129854082767,11240.02017209456,1,1,,,0.0,0.0
2019-04-12,9619.649710125002,10822.105044116157,1,1,,,0.0,0.0
2019-04-15,9619.649710125002,10822.105044116157,1,1,,,0.0,0.0
2019-04-16,9503.216027897732,10691.117162259034,1,1,,,0.0,0.0
2019-04-17,9636.280085999084,10840.81421545355,1,1,,,0.0,0.0
2019-04-18,9553.115926815268,10747.254543977617,1,1,,,0.0,0.0
2019-04-22,9625.194045879225,10828.342421332594,1,1,,,0.0,0.0
2019-04-23,9741.626850976967,10959.329316419078,1,1,,,0.0,0.0
2019-04-24,9730.538179468522,10946.854561986202,1,1,,,0.0,0.0
2019-04-25,9758.262489628223,10978.044408380314,1,1,,,0.0,0.0
2019-04-26,9719.450385089604,10934.380794323966,1,1,,,0.0,0.0
