date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2018-12-17,10909.570032000001,10909.570032000001,1,1,BUY,BUY,16.008,16.008,0.0,0.0,1.0,1.0
2018-12-24,11233.530317186769,11233.530317186769,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2018-12-31,10031.140127062257,10031.140127062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-01-07,12217.870269655641,12217.870269655641,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-01-14,11794.23007953113,11794.23007953113,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-01-21,11719.469556688722,11719.469556688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-01-28,12342.469556688722,12342.469556688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-02-04,11252.219556688722,11252.219556688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-02-11,11239.760459780153,11239.760459780153,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-02-18,10909.570032000001,10909.570032000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-02-25,11009.249936937746,11009.249936937746,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-03-04,10691.519794344362,10691.519794344362,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-03-11,10909.570032000001,10909.570032000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-03-18,10660.370269655641,10660.370269655641,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-03-25,10585.609746813234,10585.609746813234,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-04-01,11326.98007953113,11326.98007953113,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-04-08,10816.120269655641,10816.120269655641,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-04-15,10741.359746813234,10741.359746813234,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-04-22,10928.260459780153,10928.260459780153,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-04-29,10672.830554842409,10672.830554842409,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-05-06,11407.969556688722,11407.969556688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-05-13,11034.17050731128,11034.17050731128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-05-20,11065.320032000001,11065.320032000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-05-27,11837.839889406618,11837.839889406618,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2019-06-03,11806.675227688722,11806.675227688722,1,1,,,0.0,0.0,87.205671,87.205671,1.0,1.0
2019-06-10,11594.855132626466,11594.855132626466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
