date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2018-12-21,10000.0,10937.5,0,1,,BUY,0.0,9.645308140345982
2018-12-26,10000.0,11124.999531052717,0,1,,,0.0,0.0
2018-12-27,10000.0,11468.74933047888,0,1,,,0.0,0.0
2018-12-28,10000.0,11262.5002418186,0,1,,,0.0,0.0
2019-01-02,10000.0,10531.250686471023,0,1,,,0.0,0.0
2019-01-03,10000.0,10375.000418097577,0,1,,,0.0,0.0
2019-01-04,10000.0,10056.250028814833,0,1,,,0.0,0.0
2019-01-07,10000.0,9762.499049675507,0,1,,,0.0,0.0
2019-01-08,10000.0,9918.749318048951,0,1,,,0.0,0.0
2019-01-09,10000.0,10150.000783085463,0,1,,,0.0,0.0
2019-01-10,10000.0,10931.249158719875,0,1,,,0.0,0.0
2019-01-11,10000.0,12249.999683601833,0,1,,,0.0,0.0
2019-01-14,10000.0,12749.997773912899,0,1,,,0.0,0.0
2019-01-15,10000.0,12437.500203398822,0,1,,,0.0,0.0
2019-01-16,10000.0,11999.99964970203,0,1,,,0.0,0.0
2019-01-17,10000.0,11375.000553696791,0,1,,,0.0,0.0
2019-01-18,10000.0,11824.999823721022,0,1,,,0.0,0.0
2019-01-21,10000.0,12218.74943217829,0,1,,,0.0,0.0
2019-01-22,10000.0,11974.99826207007,0,1,,,0.0,0.0
2019-01-23,10000.0,11999.99964970203,0,1,,,0.0,0.0
2019-01-24,10000.0,11750.001593290768,0,1,,,0.0,0.0
2019-01-28,10000.0,11781.24986722577,0,1,,,0.0,0.0
2019-01-29,10000.0,11699.998818026848,0,1,,,0.0,0.0
2019-01-30,10000.0,12124.999666651931,0,1,,,0.0,0.0
2019-01-31,10000.0,12031.250889869843,0,1,,,0.0,0.0
2019-02-01,10000.0,12374.998711807464,0,1,,,0.0,0.0
2019-02-04,10000.0,12531.24996892518,0,1,,,0.0,0.0
2019-02-05,10000.0,12437.500203398822,0,1,,,0.0,0.0
