date,equity,cash,selected,positions,tax_paid,fees_paid,distributions_net
2023-01-02,988.4490009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-03,964.6990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-04,970.9490009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-05,972.9490009824415,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-06,986.6990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-09,983.9490009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-10,974.6990009824415,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-11,1000.9490009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-12,998.6990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-13,1010.1990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-16,978.1990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-17,993.6990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-18,985.6990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-19,983.6990009824415,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-20,969.1990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-23,970.1990009824415,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-24,966.1990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-25,1003.9490009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-26,991.1990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-27,983.6990009824415,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-30,969.6990009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-01-31,991.9490009824416,35.94900098244159,WEGE3,1,0.0,0.3083976324432369,0.0
2023-02-01,966.8138114930116,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-02,942.6638114930115,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-03,945.4238114930116,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-06,969.1138114930116,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-07,979.0038114930115,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-08,1000.1638114930115,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-09,986.5938114930116,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-10,1004.7638114930115,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
2023-02-13,988.4338114930115,21.51381149301153,PRIO3,1,0.0,0.9240308886257095,0.0
