date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2000-01-03,9975.052525000001,9975.052525000001,1,1,BUY,BUY,3.50175,3.50175,0.0,0.0,1.0,1.0
2000-01-04,9737.5507130188,9737.5507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-05,9737.5507130188,9737.5507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-06,9737.5507130188,9737.5507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-07,10093.8007130188,10093.8007130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-10,10925.0516190094,10925.0516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-11,10948.80057712021,10948.80057712021,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-12,11055.67530532303,11055.67530532303,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-13,11423.80216260376,11423.80216260376,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-14,11637.5516190094,11637.5516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-17,11875.0507130188,11875.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-18,11518.8007130188,11518.8007130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-19,11471.302796797181,11471.302796797181,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-20,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-21,11162.5507130188,11162.5507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-24,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-25,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-26,11305.05057712021,11305.05057712021,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-27,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-28,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-31,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-01,11162.5507130188,11162.5507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-02,10687.552525000001,10687.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-03,10687.552525000001,10687.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-04,11091.30044122162,11091.30044122162,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-07,11637.5516190094,11637.5516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-08,12314.42716260376,12314.42716260376,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-09,12112.552525000001,12112.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-10,11400.052525000001,11400.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-11,10803.926564649964,10803.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-14,10663.80084891739,10663.80084891739,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-15,10925.0516190094,10925.0516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-16,10925.0516190094,10925.0516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-17,10687.552525000001,10687.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-18,10687.552525000001,10687.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-21,10687.552525000001,10687.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-22,10450.0507130188,10450.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-23,10687.552525000001,10687.552525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-24,10568.8016190094,10568.8016190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-25,10450.0507130188,10450.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-28,10212.5516190094,10212.5516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-29,9690.052796797181,9690.052796797181,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-01,9737.5507130188,9737.5507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-02,9495.300604299928,9495.300604299928,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-03,9378.926564649964,9378.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-06,9378.926564649964,9378.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-07,9378.926564649964,9378.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-08,9431.175495581056,9431.175495581056,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-09,9238.80084891739,9238.80084891739,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-10,9025.0507130188,9025.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-13,9025.0507130188,9025.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
