date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2000-01-03,10000.0,9975.052525000001,0,1,,BUY,0.0,3.50175,0.0,0.0,1.0,1.0
2000-01-04,10000.0,9737.5507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-05,10000.0,9737.5507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-06,10000.0,9737.5507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-07,10000.0,10093.8007130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-10,10000.0,10925.0516190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-11,10000.0,10948.80057712021,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-12,10000.0,11055.67530532303,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-13,10000.0,11423.80216260376,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-14,10000.0,11637.5516190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-17,10000.0,11875.0507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-18,10000.0,11518.8007130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-19,10000.0,11471.302796797181,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-20,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-21,10000.0,11162.5507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-24,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-25,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-26,10000.0,11305.05057712021,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-27,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-28,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-01-31,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-01,10000.0,11162.5507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-02,10000.0,10687.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-03,10000.0,10687.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-04,10000.0,11091.30044122162,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-07,10000.0,11637.5516190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-08,10000.0,12314.42716260376,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-09,10000.0,12112.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-10,10000.0,11400.052525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-11,10000.0,10803.926564649964,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-14,10000.0,10663.80084891739,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-15,10000.0,10925.0516190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-16,10000.0,10925.0516190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-17,10000.0,10687.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-18,10000.0,10687.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-21,10000.0,10687.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-22,10000.0,10450.0507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-23,10000.0,10687.552525000001,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-24,10000.0,10568.8016190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-25,10000.0,10450.0507130188,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-28,10000.0,10212.5516190094,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-02-29,10000.0,9690.052796797181,0,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-01,10023.940715969915,9737.5507130188,1,1,BUY,,3.4017000954151153,0.0,0.0,0.0,1.0,1.0
2000-03-02,9774.635604084844,9495.300604299928,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-03,9654.872425736303,9378.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-06,9654.872425736303,9378.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-07,9654.872425736303,9378.926564649964,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-08,9708.642992199773,9431.175495581056,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-09,9510.665855826253,9238.80084891739,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-10,9290.690715969915,9025.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-13,9290.690715969915,9025.0507130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-14,8801.859247387762,8550.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-15,8801.859247387762,8550.052525000001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-16,8948.509107531423,8692.55238910141,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-17,8872.738439740056,8618.925930456544,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-20,8313.024981678838,8075.0516190094,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-21,8572.105352343435,8326.800359682466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-22,8728.533967675085,8478.80225320282,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2000-03-23,8924.065715969915,8668.8007130188,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
