date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2000-01-03,10000.0,9980.039920159681,0,1,,BUY,0.0,1.2874711751937866
2000-01-04,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-01-05,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-01-06,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-01-07,10000.0,10098.849446173375,0,1,,,0.0,0.0
2000-01-10,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-01-11,10000.0,10954.280436053936,0,1,,,0.0,0.0
2000-01-12,10000.0,11061.210118350242,0,1,,,0.0,0.0
2000-01-13,10000.0,11429.525932668588,0,1,,,0.0,0.0
2000-01-14,10000.0,11643.381600981265,0,1,,,0.0,0.0
2000-01-17,10000.0,11881.000653008654,0,1,,,0.0,0.0
2000-01-18,10000.0,11524.570226827602,0,1,,,0.0,0.0
2000-01-19,10000.0,11477.04715567811,0,1,,,0.0,0.0
2000-01-20,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-01-21,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-01-24,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-01-25,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-01-26,10000.0,11310.70901409502,0,1,,,0.0,0.0
2000-01-27,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-01-28,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-01-31,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-02-01,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-02-02,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-02-03,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-02-04,10000.0,11096.853345782345,0,1,,,0.0,0.0
2000-02-07,10000.0,11643.381600981265,0,1,,,0.0,0.0
2000-02-08,10000.0,12320.595529631331,0,1,,,0.0,0.0
2000-02-09,10000.0,12118.619705036044,0,1,,,0.0,0.0
2000-02-10,10000.0,11405.764397093844,0,1,,,0.0,0.0
2000-02-11,10000.0,10809.331742396047,0,1,,,0.0,0.0
2000-02-14,10000.0,10669.137388807072,0,1,,,0.0,0.0
2000-02-15,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-02-16,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-02-17,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-02-18,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-02-21,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-02-22,10000.0,10455.281720494397,0,1,,,0.0,0.0
2000-02-23,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-02-24,10000.0,10574.090322438107,0,1,,,0.0,0.0
2000-02-25,10000.0,10455.281720494397,0,1,,,0.0,0.0
2000-02-28,10000.0,10217.659896257053,0,1,,,0.0,0.0
2000-02-29,10000.0,9694.900569192752,0,1,,,0.0,0.0
2000-03-01,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-03-02,10000.0,9500.044703826034,0,1,,,0.0,0.0
2000-03-03,10000.0,9383.614658021757,0,1,,,0.0,0.0
2000-03-06,10000.0,9383.614658021757,0,1,,,0.0,0.0
2000-03-07,10000.0,9383.614658021757,0,1,,,0.0,0.0
2000-03-08,10000.0,9435.891145170177,0,1,,,0.0,0.0
2000-03-09,10000.0,9243.416608152846,0,1,,,0.0,0.0
2000-03-10,10000.0,9029.56093984017,0,1,,,0.0,0.0
2000-03-13,10000.0,9029.56093984017,0,1,,,0.0,0.0
2000-03-14,10000.0,8554.319139505453,0,1,,,0.0,0.0
2000-03-15,10000.0,8554.319139505453,0,1,,,0.0,0.0
2000-03-16,10000.0,8696.892049233862,0,1,,,0.0,0.0
2000-03-17,10000.0,8623.229810440176,0,1,,,0.0,0.0
2000-03-20,10000.0,8079.079187310706,0,1,,,0.0,0.0
2000-03-21,10000.0,8330.955715124934,0,1,,,0.0,0.0
2000-03-22,10000.0,8483.035456851203,0,1,,,0.0,0.0
2000-03-23,10000.0,8673.128665519149,0,1,,,0.0,0.0
2000-03-24,10000.0,9148.36954178388,0,1,,,0.0,0.0
2000-03-27,10000.0,9385.986745671302,0,1,,,0.0,0.0
2000-03-28,10000.0,9100.843698424436,0,1,,,0.0,0.0
2000-03-29,10000.0,9271.930635656536,0,1,,,0.0,0.0
2000-03-30,10000.0,9262.424727728661,0,1,,,0.0,0.0
2000-03-31,10000.0,9504.79904389495,0,1,,,0.0,0.0
2000-04-03,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-04-04,10000.0,9267.179067797575,0,1,,,0.0,0.0
2000-04-05,10000.0,9623.611342118596,0,1,,,0.0,0.0
2000-04-06,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-04-07,10000.0,9623.611342118596,0,1,,,0.0,0.0
2000-04-10,10000.0,9497.672616176491,0,1,,,0.0,0.0
2000-04-11,10000.0,9495.297756316993,0,1,,,0.0,0.0
2000-04-12,10000.0,9495.297756316993,0,1,,,0.0,0.0
2000-04-13,10000.0,9267.179067797575,0,1,,,0.0,0.0
2000-04-14,10000.0,8791.942811882764,0,1,,,0.0,0.0
2000-04-17,10000.0,8554.319139505453,0,1,,,0.0,0.0
2000-04-18,10000.0,8554.319139505453,0,1,,,0.0,0.0
2000-04-19,10000.0,8340.464395262763,0,1,,,0.0,0.0
2000-04-20,10000.0,8756.294040030756,0,1,,,0.0,0.0
2000-04-21,10000.0,8756.294040030756,0,1,,,0.0,0.0
2000-04-24,10000.0,8673.128665519149,0,1,,,0.0,0.0
2000-04-25,10000.0,9027.186079980673,0,1,,,0.0,0.0
2000-04-26,10000.0,9481.038432390187,0,1,,,0.0,0.0
2000-04-27,10000.0,9219.65692071807,0,1,,,0.0,0.0
2000-04-28,10000.0,9504.79904389495,0,1,,,0.0,0.0
2000-05-01,10000.0,9504.79904389495,0,1,,,0.0,0.0
2000-05-02,10000.0,9530.940059679111,0,1,,,0.0,0.0
2000-05-03,10000.0,9457.275048675474,0,1,,,0.0,0.0
2000-05-04,10000.0,9385.986745671302,0,1,,,0.0,0.0
2000-05-05,10000.0,9504.79904389495,0,1,,,0.0,0.0
2000-05-08,10000.0,9385.986745671302,0,1,,,0.0,0.0
2000-05-09,10000.0,9267.179067797575,0,1,,,0.0,0.0
2000-05-10,10000.0,9504.79904389495,0,1,,,0.0,0.0
2000-05-11,10000.0,9219.65692071807,0,1,,,0.0,0.0
2000-05-12,10000.0,9100.843698424436,0,1,,,0.0,0.0
2000-05-15,10000.0,9243.416608152846,0,1,,,0.0,0.0
2000-05-16,10000.0,9481.038432390187,0,1,,,0.0,0.0
2000-05-17,10000.0,9666.382845409125,0,1,,,0.0,0.0
2000-05-18,10000.0,9861.228546006017,0,1,,,0.0,0.0
2000-05-19,10000.0,10098.849446173375,0,1,,,0.0,0.0
2000-05-22,10000.0,9861.228546006017,0,1,,,0.0,0.0
2000-05-23,10000.0,9385.986745671302,0,1,,,0.0,0.0
2000-05-24,10000.0,9267.179067797575,0,1,,,0.0,0.0
2000-05-25,10000.0,9267.179067797575,0,1,,,0.0,0.0
2000-05-26,10000.0,9433.510740890775,0,1,,,0.0,0.0
2000-05-29,10000.0,9385.986745671302,0,1,,,0.0,0.0
2000-05-30,10000.0,9861.228546006017,0,1,,,0.0,0.0
2000-05-31,10000.0,9937.264720589214,0,1,,,0.0,0.0
2000-06-01,10000.0,10003.80237980441,0,1,,,0.0,0.0
2000-06-02,10000.0,9980.039920159681,0,1,,,0.0,0.0
2000-06-05,10000.0,10217.659896257053,0,1,,,0.0,0.0
2000-06-06,10000.0,10217.659896257053,0,1,,,0.0,0.0
2000-06-07,10000.0,10122.613753958072,0,1,,,0.0,0.0
2000-06-08,10000.0,10217.659896257053,0,1,,,0.0,0.0
2000-06-09,10000.0,10455.281720494397,0,1,,,0.0,0.0
2000-06-12,10000.0,9766.18147963705,0,1,,,0.0,0.0
2000-06-13,10000.0,9504.79904389495,0,1,,,0.0,0.0
2000-06-14,10000.0,9742.419019992321,0,1,,,0.0,0.0
2000-06-15,10000.0,9623.611342118596,0,1,,,0.0,0.0
2000-06-16,10000.0,9908.755313435444,0,1,,,0.0,0.0
2000-06-19,10000.0,10336.471270410717,0,1,,,0.0,0.0
2000-06-20,10000.0,10455.281720494397,0,1,,,0.0,0.0
2000-06-21,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-06-22,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-06-23,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-06-26,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-06-27,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-06-28,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-06-29,10000.0,10809.331742396047,0,1,,,0.0,0.0
2000-06-30,10000.0,10690.523140452337,0,1,,,0.0,0.0
2000-07-03,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-07-04,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-07-05,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-07-06,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-07-07,10000.0,11170.519280855966,0,1,,,0.0,0.0
2000-07-10,10000.0,11215.664719936007,0,1,,,0.0,0.0
2000-07-11,10000.0,10787.946914820766,0,1,,,0.0,0.0
2000-07-12,10000.0,10811.712146675449,0,1,,,0.0,0.0
2000-07-13,10000.0,10645.37677730231,0,1,,,0.0,0.0
2000-07-14,10000.0,10146.375289532818,0,1,,,0.0,0.0
2000-07-17,10000.0,11294.081298798606,0,1,,,0.0,0.0
2000-07-18,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-07-19,10000.0,10930.52074861916,0,1,,,0.0,0.0
2000-07-20,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-07-21,10000.0,10847.351677827613,0,1,,,0.0,0.0
2000-07-24,10000.0,11049.333046842807,0,1,,,0.0,0.0
2000-07-25,10000.0,11165.764940787052,0,1,,,0.0,0.0
2000-07-26,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-07-27,10000.0,11049.333046842807,0,1,,,0.0,0.0
2000-07-28,10000.0,10574.090322438107,0,1,,,0.0,0.0
2000-07-31,10000.0,10574.090322438107,0,1,,,0.0,0.0
2000-08-01,10000.0,10574.090322438107,0,1,,,0.0,0.0
2000-08-02,10000.0,10574.090322438107,0,1,,,0.0,0.0
2000-08-03,10000.0,10574.090322438107,0,1,,,0.0,0.0
2000-08-04,10000.0,10859.234293754955,0,1,,,0.0,0.0
2000-08-07,10000.0,11120.619501707011,0,1,,,0.0,0.0
2000-08-08,10000.0,11096.853345782345,0,1,,,0.0,0.0
2000-08-09,10000.0,10882.9958293297,0,1,,,0.0,0.0
2000-08-10,10000.0,10833.094202040777,0,1,,,0.0,0.0
2000-08-11,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-08-14,10000.0,11215.664719936007,0,1,,,0.0,0.0
2000-08-15,10000.0,11381.999165239162,0,1,,,0.0,0.0
2000-08-16,10000.0,11286.953947010164,0,1,,,0.0,0.0
2000-08-17,10000.0,11524.570226827602,0,1,,,0.0,0.0
2000-08-18,10000.0,11286.953947010164,0,1,,,0.0,0.0
